Q37
"We are interested in how your experiences in Fall 2020 differed from the Spring of 2020 with teaching your physics class online. Feel free to describe anything you learned for Fall 2020 about transitioning the class, any lessons you have learned and anything you think we should understand."
I had to work harder on making social connections with students.
"I usually teach face-to-face SCALE-UP.  So one of my primary goals was to have students do as many (virtual) lab exercises as possible.  So I adopted iOLab, Pivot Interactives and PhET simulations.  I'll bring a lot of that back to my face-to-face classrooms to supplement the labs I usually do.  I also broke my 63-student class into quarters and had each quarter work with a single one of my assistant instructors (three graduate TA's and one undergraduate learning assistant) for the entire semester in an attempt to build relationships between students and assistant instructors.  I will also bring that strategy back into my face-to-face classroom."
Our institution pivoted to 100% online in one week in March 2020.  I was very impressed with my colleagues and learned a lot from them.  I used what I learned in the spring semester to comfortably teach online in the fall.
"I could plan ahead for online teaching, so I could address the shortcomings of this teaching mode by shifting learning modes and expectations. "
Students need time to interact with each other. The more you get out of the way the better. It needs to be forced at least in the beginning.
"In face to face teaching, my course used active learning where students would work together, in fairly close proximity to solve and present problems (so that they could explain their work to their peers).  Inevitably in face-to-face there would be cross-talk between student groups at the same table.  In teaching online I used Zoom breakout rooms which are completely separate, which killed all of that useful eavesdropping.  Student engagement was uneven to say the least, some students just wouldn't interact or unmute, and it was impossible for me as the instructor to assist unless groups asked for help.  Some groups wouldn't work together at all, and left before the end of class or completing the in-class work.  For substituting for their in class presentations, each group had to film a video of them going through their solution, which was a ton more grading.  There was a lab component for this course which was done with iOlab devices augmented with some simulations.  I made that asynchronous and every single issue of using computer data acquisition that we would have had in class, we had with individuals.  Comparing learning gains from a year ago (100% face-to-face) to this fall (100% virtual) showed a decrease in learning gains, though not a huge margin.  This might have been easier with a far smaller class, even though I had the assistance of 3 TAs and an LA, there were still 13 groups of 4-5 students."
"Most of my teaching strategies were gauged for in-person and real-time feedback about student learning, mainly through in-class questions with Learning Catalytics. In the COVID-19 times, asynchronous learning must always be an option. That shifted much of my strategy and only about 1/3 to 1/2 of the class was interested in engaging synchronously with the course material."
"My class is an active learning, group work based class - there are no lectures. Instructors and undergrad learning assistants work with small groups on activities followed by entire class discussions. We moved the in person version of this online using Zoom and break out rooms. We mostly kept the same activities and content, but overall went slower and had to cut here and there.

1) We observed far more heterogeneity of student situations and ability to participate effectively. 
2) Our students are missing technology that could help greatly with online synchronous group work - tablet + stylus gear. The students with that gear seemed to participate much better.
3) Our final exam scores for both spring and fall did NOT correlate as expected with semester performance or other grades. The value of the exams was questionable.
4) While we assigned regular grades, I wonder what they mean compared to usual. I don't think they carry the meaning the usually do.
5) Everything online was slower than in person - more friction. All progress was slower. 
6) Lab components were very difficult to implement online.
7) While student attendance was high, participation was much lower than usual. "
"I applied many of the things we as a department learned from Spring 2020 to my fall 2020 courses. We were able to leverage a large number of things and shared new ideas amongst those of us teaching the same courses. When one of us would learn how to do something new, we shared it with others in the department."
"In the Fall I was teaching an introductory lab-based course that is normally taught ""studio-style.""  There was a huge adjustment trying to encourage active learning via Zoom."
We already had a premade video of the labs to be used. We also offered an online only version of the lab however much improvement is needed for that. I believe we need to provide students the necessary materials to do a lab at home and also give better instructions that are more clear. 
"I taught several introductory physics mechanics labs online in the fall.  The biggest problem I found was that several students obviously doctored their results to match expectations.  I don't know a good way to stop such cheating, or what to do about it when I suspect it.   "
"Instead of exams, I either have group projects or have the students make YouTube videos explaining solutions to problems, derivations or concepts to peers at other institutions. It works better to gauge understanding if they can explain solutions rather than writing them down in a timed format."
"Spring 2020 was spent in triage mode - trying out small variations till something worked reasonably well. Since then, Zoom has added features, and I have had the opportunity to learn from others how to engage students better. While most of the students were very happy with the level of engagement in Fall 2020, it still remains a challenge for some. It is hard to figure out how to modify in-class activities without spending excessive time on everything associated with running - everyone is tired of the excess amount of time everything takes. Finding the right balance between activities to check-in with students during synchronous sessions and having time for instruction without expecting them to spend excessive time to prep outside of class - findign this balance is the challenge most instructors face."
I had to rely totally on Zoom.
"* Note: After designing a fully online series I’ve came to the conclusion that almost everything on this list is just as relevant to your face-to-face (f2f) classes. I did not add a number of things, like backward design or the importance of metacognition, which I think would be considered already a best practice in f2f classes. If I added something like that here, I tried to highlight what about that practice is implemented different or more important in the online setting. 



Effective Practices

1.	Flexibility
i.	Online classes usually require a host of specialized learning software, especially in STEM courses like physics. Examples include: LMS, grading software like Gradescope, clicker software, online textbooks, Zoom, OneNote, homework systems like Masteringphysics, Peer-review software like Peerceptive, Excel, Tracker, Pivot interactives,… and the list goes on and on. Make sure all of those are organized and findable from one central location, like the LMS. Students express overload when there are too many platforms but that frustration is highly mitigated if there is a central location of links. 
ii.	Be wary of specialized learning tools creep. It can be tempting to use the best piece of software for every little aspect and in the end students are engaging with 10+ programs.
1.	Consider the length of the course when deciding about what platforms to use. If it is a single class, creating a high barrier to entry may not be worth it. If it’s a year-long sequence, and the plethora of tools is worth it, it can be more acceptable to expect the extra time to learn all of the pieces in the system. 
d.	Proper training on each software platform – don’t assume that because your students are distance learners that they already “get” software and computers. Distance learners tend to span a wider range of age groups and a wider range of technical knowledge than traditional students.
i.	Syllabus quizzes that block new content until completed at the start of the term can be effect. Along with questions that encourage them to read the syllabus, they can have tasks that help teach them the learning tools that are to be used in the class. Examples include scavenger hunts for content, requirements to login and register software, and even test runs on things like uploading lab/homework/exam assignments. Expect to spend extra time on this step with online learners to ensure stress is decreased during the term. Students struggling to upload an assignment because of technical issues experience high levels of unnecessary stress.
ii.	You might also consider a small training on file directory structure and consistent file naming conventions.  
e.	Notetaking/organization software – with everything in digital format it is important to encourage students to adopt their preferred notetaking software. Examples include OneNote or Evernote. 
f.	Tablet – physics requires solving questions by hand, typically with pen and paper. When everything is turned in digitally that results in an additional step to make a digital copy. Using a tablet skips that step and ensures the writing is still active content (unlike a static flattened pdf).
i.	Couple the tablet with something like OneNote and your students (and you) will be more organized. Consider publishing your homework, lecture templates, and other resources all through one platform like OneNote. 

4.	Budgetary considerations
a.	Instructional staff support per person increases – a common preconception is that online classes are cheaper to deliver. In reality the number of students that can be properly supported online by one instructor is much less then in traditional f2f settings. One way to understand this is when one student asks a question in a live lecture, the answer informs potentially hundreds of students that had the same question. Online these interactions tend to be more one on one this takes a tremendous amount of human resources. OSU’s Ecampus for instance, a distance learning program ranked in the top ten nationally, suggests a budget of 2 to 1. Meaning if a full load for an instructor in a traditional f2f class is capped at 200 students, that number would be 100 for online courses.  
b.	Everything takes 30% longer – I made up that number but almost every online teacher laughs and fully agrees. Online learning is not a path to efficiency. 
c.	Lab kit costs – If your learning outcomes for lab include hands on activities that require purchasing a prepared lab kit, those costs can add up quickly. This is of concern for the already heavily financially burdened student base. I can also be a problem for the department if they have foot the bill upfront before the students make their purchase. There are companies that put kits together but they tend to have very high overhead costs. 
d.	Online proctoring – Can be effective to reduce cheating but also costs the students significant money, upwards of $45 per event. 
e.	Open Educational Resources (OER) – If all the engagement is already online, I suggest going one step further and using digital OER to cut costs. The publisher’s textbook is not as valuable as most think and the majority of students do not find the resource useful and end up Googling things anyways. Stop the cycle, go OER. Okay that was my unabashed plug for OER… just as relevant to f2f classes  

5.	Community
a.	Creating a vibrant inclusive community where everyone feels supported and owns their role is the most important aspect of any class. This becomes exceedingly challenging in the online environment. You have to get creative and approach the issue from a number of different directions. This is your biggest challenge!
b.	Learning Assistants (LAs) and TAs – It is best to have a multi-level support system for your class that leverages the strengths of the various members.
i.	LAs provide near peer that is unique to any other role in the team. Students feel far more comfortable asking questions they feel could be perceived as dumb or invalid to LAs than to TAs and instructors. LAs can manage the professional social media platform and help answer all those little questions that tend to fill an email box. They can also help in a number of other ways such as: fielding questions in synchronous/asynchronous events, holding study sessions, providing formative feedback on assignments, organizing and facilitating group learning, providing non-class-specific support like directing them to other university resources, and general community building. I can’t stress enough the importance of their role in any class. They are best return on investment you can find in my opinion. 
ii.	TAs typically know the physics better but are farther removed from the students. They are often grad students that never attended UG at that institution. As a consequence they may know less about the life of their students than the LAs. Use TAs as the first line of defense on supporting physics content.  
c.	Professional social media platform – a digital study room where students can come together to ask questions that LAs, TAs, instructors, and fellow students can collectively answer.
i.	This can be a message board service through an LMS but the functionality of such systems can be limited.
ii.	One suggestion is to use a platform more ideal for this type of engagement. Something that allows spontaneous real-time audio/video conferencing. Something with integrated digital whiteboards. Examples include Slack, Microsoft Teams, or Discord. 
1.	Check that your usage doesn’t violate FERPA. Discord is so open it is hard to maintain privacy. But it is a platform many students are already on… 
iii.	It’s important to differentiate this from other forms of communication. One suggestion is to use the social media platform for physics questions and questions about the working of the class. Things that everyone can help answer so that the burden isn’t only on the instructor. Leverage the community. Other questions about grades or administrative stuff should still be left to email so that there is a clear record and privacy is maintained. 
d.	Communication – Students need to know they are supported and the first step in that process is open and clear communication. When everything goes online you quickly learn the value of small f2f interactions. These can still occur in the online environment but they looks and feel different.
i.	Availability – your students need interaction with peers and instructional staff. You must make these human resources readily available.
1.	Clearly stated boundaries are important as they serve as guidelines for students. State when each member is available and the best mode to connect. Be careful of boundary creep where students expect too much of your time.  If you have to miss that time, make sure that is communicated to your students as soon as you know your absence. When possible give an alternative contact such as a TA or LA.
2.	Consider a contract that both you and your students agree too. An example is that from Monday through Friday you will respond to any question within 24 hours. You could go even further and expect that during that same time period students are expected to check their messages (email, Slack, message board).
ii.	Checking in your students – it’s important to check on your students at the very least once a week. Consider a traditional f2f class that meets 3 times a week. That 3 times a week you “check in” on your students. It may not be in practice a meaningful check in but it feels like one to the student, especially when there is formative assessment (like clicker questions) associated with class. 
iii.	More is better than less – error on the side of too many announcements or check ins. 
iv.	Fun videos telling them you’re thinking about them – you need to humanize yourself to your students. One way of doing this to send little videos showing the human side of your life. An example is to take a short ~1 min video with your phone while your digging in the garden and to tell the students you’re thinking about them and all the hard work they are doing on their upcoming report or assignment. 
v.	Tone – with a lot of communication moving to text and/or video, spend extra time ensuring the tone of your voice is welcoming and inclusive. Many students already fear their instructors and they may read what you write to mean something you never intended. 
e.	Group/team learning – There is a gradient of collaborative work with groups on one end and teams on the other. I won’t try and define what constitutes team-based learning from group-based but ways that they can be differentiated are analyzing the scope/time of the project, how many people are working together, whether there are formal roles, and whether the people have/will develop lasting relationships. 
i.	Synchronous
1.	Virtual breakout rooms (like in Zoom) can be used to allow collaboration like that in a Studio Physics classroom. 
a.	Getting students to talk and contribute can be the biggest difficulty. Defining roles, like someone dedicated to sharing their screen with the content everyone is working on visible, can help keep communication flowing. 
i.	Other roles can be defined and those can rotate through students. Scribe, equipment operator (like in a lab), presenter, skeptic, are examples of roles.
ii.	LA/TA support can really provide leadership in these sessions. 
b.	Most digital whiteboards allow exporting the work as an image. 
c.	Students should have at the very least a computer with a camera and microphone. 
2.	Clear session objectives – everyone needs to know goals and what product they are to be producing. 
ii.	Asynchronous
1.	Can be inefficient but provides the most flexibility
2.	Time delay between replies can be problematic
3.	Can be an advantage for longer/larger activities

6.	Lab goals
a.	Experimental design
b.	Data analysis
c.	Communication skills
i.	Collaborating on experiments can be difficult asynchronously
d.	Inquiry-based vs. prescribed labs
e.	Physical experiments vs. virtual experiments
f.	Project-based labs

7.	Accessibility 
a.	I like this being a main effective practices even though it could fit under flexibility because it highlights the importance. If someone decides to use UDL guidelines to make an online course they are likely to realize how their traditional class could be more accessible
b.	Universal design for learners (UDL)
"
I was teaching very different courses on those two terms (graduate majors vs. undergraduate non-majors).
"I taught a flipped course in Spring 202 so lectures were prerecorded.  In the fall of 2020 I taught an upper level majors course that I had not taught for several years. I found it difficult to balance at the same time all of keeping track of the calculation I was doing in lecture, making sure that my writing was visible to students, referring to my notes, and addressing student questions. I also missed having a large blackboard for calculation which sometimes took several pages on the pad I was sowing via a document camera."
"We use a studio format to teach Physics II (Cal based).  The class is small (12) so I brought them back to campus after four weeks.  Normally there is a lot of interaction because we incorporate labs and problem sessions into the two hour thrice a week meetings.  Not in this case, however.  The distancing and mask requirements made doing labs almost impossible and the students barely interacted with each other during problem sessions.  The only advantage was I could lecture live (even though I had recorded every lecture ahead of time just in case) and the students could ""see"" each other live.  The main advantages to studio format were completely lost.  In a sense, I kind of regretted hauling them all back to campus, even though I know they didn't like Zoom.  As far as labs went, I preferred the virtual ones (and spreadsheet calculations they did on electrostatics) to the live circuit labs.  Why?  Your natural instincts take over when you teach for 30 years and it was all I could do to maintain distancing when I was helping them with labs.  It really wasn't worth it because it was more risk than it should have been.  This coming semester I have 16 in the class and there is no way I'm going to meet with them in a room on campus.  The Covid case count is too high and I'm 64 almost 65 years old.  I'm not taking any chances this time around.  I'll think about going back to campus if and when we all get vaccinated.  Until then, we can Zoom.  One perk about Zoom though, the students could Zoom with me any hour of the day if they had questions.....and they did.  Bottom line: Teaching in person with the pandemic restrictions in place really isn't much fun, and it's nothing like teaching in a normal setting.  Most of my Physics colleagues had classes that were too large to meet face to face, but I told them they were not missing anything.  It will be far more fun when we can teach ""normally"" again."
"The biggest difference was the preparation and expectations of the students. The students simply did not adapt well to the new format in the Spring, and in the Fall more of them knew what to expect. However, in both cases it was plainly evident that some students had more difficulties engaging with the material and participating in discussions compared to face-to-face settings. The two big hurdles I see are technological and psychological. Specifically, physics students need access to pen-based platforms (e.g., ipad or Surface) that they can use to write equations and sketch - this is absolutely necessary for introductory physics. We also need a better video platform that allows for more seamless and organic small group discussions - Teams and Zoom are terrible at this. Students seem much less self-disciplined and able to recover from failure, even when courses are structured to accommodate that. Failure is a critical component of learning, but the culture's obsession with performance and grades is increasing, and makes a growth-based mindset difficult to foster."
"To make zoom breakout groups work for cooperative learning (e.g. pair share) you need to provide clear ""ice breaker"" questions to get them talking. And you need to monitor continually."
Fewer and more lenient grades help student performance
I taught summer classes so I felt well-prepared to teach in the fall.
"The main course I taught was different in each semester. Hands-on, inquiry-based classes require different transition strategies than lecture/discussion classes."
Online teaching sucks!  I don't get the feedback from the students faces and body language as I can in face-to-face classes.  And I have to give multiple choice tests online; I would NEVER do that in a face-to-face class.  And any administrators who like the transition to online because it saves money should rethink their positions in the wake of what is a demonstrably inferior method of teaching.
"During Spring, I taught some courses asynchronously due to recommendations I received.  I found some students loved this and others hated it.  For Fall, I switched to all synchronous.  Now for Spring 2021, since some students like one method and some like the other, I have both options.  I am teaching synchronously, but the students can also watch the pre-recorded videos if they prefer."
On line lectures with student groups has proved to be far more effective than anticipated.
"It was much smoother as we were able to go into the semester with a plan.  I made a plan that would allow a flow from hybrid (in person and online simultaneously) to online only at the drop of a hat.  Students did much better this semester I feel due to there being a class that everyone attended in some way, and there was a community building aspect. "
"I set up some early semester times for students to drop in, chat, and meet me. Only about 20% of students took advantage of this but it helped with community for those that did stop by. Like many I am concerned about academic honesty on remote exams. My students are monitored via webcam (no browser lock down) and I use oral exams as a back up measure to validate knowledge if I suspect cheating or a compromised exam. This has generally worked well for me, though I won't claim that I am preventing all academic dishonesty. "
Online teaching is bad for the students. Can't wait to get back to the real thing - in front of students.
Since I was able to meet my studentes face to face it was fine.
"I found that students were more willing to work remotely in groups doing exercises in Spring 2020 after March after having doing group activities in class and at-home  in groups than they were in Fall 2020, never having had the opportunity to build a sense of community in person that they had in other semesters."
"Through my experience teaching remote synchronous courses in Fall 2020, I now regard a few elements I felt were important previously to be even more important. 
1) Importance of creating and sustaining social connection within the class community.  This includes getting to know students, letting them get to know me, providing opportunities for them to get to know one another, responding to email promptly and in-depth, checking in with students about ""how things are going"", etc. 
2) Be flexible regarding course deadlines.  Display compassion for students who are struggling to meet course deadlines.
3) Trust students.  I mean regarding academic integrity.  But also talk to them about that explicitly.  
4) Be more willing to explore informal connections of the course content to interesting but perhaps only tangentially related issues.  These include physics content from somewhat outside the scope of the course, current events, students' non-physics academic interests. "
"Completely different vibe from spring to fall. Spring was like trying to damage control. Nobody signed up for remote instruction, and we were just trying to survive, make the final six weeks productive, despite all sorts of new technical challenges. But in the fall, everyone knew going in that the course would be fully remote, what that would entail, and how to solve the inevitable technical challenges. While I much prefer face-to-face, Fall 2020 went ok, and I'm not anxious about my upcoming remote spring 2021 course."
"We had a lot more time to prepare for fall 2020 than spring quarter. So my classes were better structured, but the amount of revision required (particularly for lab classes) was gigantic, so the end result was still quite rough. And student expectations were much higher in fall, as were the expectations of administration and the Board of Trustees (which liked to blame faculty for enrollment declines). While online was the right call, students were openly talking about dropping out (and some did drop out) because of the lack of face-to-face classes. We need politicians to understand that colleges are not like restaurants. It's sad if a restaurant closes during the pandemic, but restaurants close and open all the time. If a college fails, that's pretty permanent, and could leave an entire region without access to public higher education.

I think one of the primary things to understand is that students taking online by force are a completely different population than students who chose to take online before. So a lot of the ""best practices"" for online teaching were actually irrelevant junk, because they were designed for a different population. A lot of our students had taken online before, and explicitly rejected it in favor of F2F - until the option was taken away. (But my F2F classes couldn't be run during a pandemic, distanced and masked, even if we thought that were safe.)"
"In Spring, we went online with very little notice and hacked together whatever we could do to finish the semester. In the Fall, I dramatically re-designed the class to make sense online. Because it was asynchronous, this had the effect of being a ""flipped classroom"", which is something I'd been thinking of doing anyway, but now I had no choice."
"Lab science classes are extremely difficult to translate to online only courses and require a GREAT DEAL of time to do well.  I have been working approximately 80 hours per week for between 15 and 17 hours of contact time (including lecture, discussion and labs) since March.  It is unsustainable and I wish there was more ready help that was worthwhile available.  I felt for fall that I had some time to utilize what I had learned over spring and summer (I taught both spring and summer session) but I was teaching more classes including a class that had a very specific purpose of teaching guided inquiry science teaching techniques along with content that had to be completely re-worked for the hybrid style we used this fall."
"We restructured our labs so that the number of students in the room was extremely limited, allowing about a 12 foot buffer between stations. All students worked independently instead of with a partner. All surfaces in the labs we sanitized by me before each class. We had all classroom doors open with supplemental means enhancing airflow through the room. We had active air purifiers cycling air in the room. We allowed students to miss class without penalty if they had any symptoms. Our university provided testing for all students, my TA, and myself each week."
"My institution went remote-only and sent all the students home after one week in the fall, so the only choice of instructional mode I had was synchronous vs. asynchronous (I used a mixture).  One advantage to Zoom teaching is that the students' names are shown, so I learn them more quickly.  Hands-on experimentation is all but impossible in this mode, and breakout rooms are only a limited substitute for small-group engagement in person.  Obviously it was easier to pivot hands-on activities (e.g. by making videos of the experiments and giving the students the data to analyze) in the fall when we had more lead time.  But inevitably the unstructured exploration that hands-on work fosters was missing.  Since my students were first-semester undergraduates, they really needed the opportunity to bond with one another and create community when they arrived on campus, and that was very difficult remotely.  Fortunately my students were all in the same time zone.  Although the class was mostly synchronous, I recorded the sessions in case somebody had internet problems.  One student skipped most of the synchronous sessions in favor of viewing the recordings, because he had to take a job to replace the work-study job he would have had on campus and the hours conflicted with our class time.  Needless to say, this did not help him succeed.  "
"Cheating in large lecture classes (250 students) was a very large issue in the spring, and not an issue for my 25-30 student fall classes.
Having a good pen tablet to do grading via PDFs is a must.
Being visible to students during an on-line lecture is a must.  (No Khan Academy style.)
"
"The only thing that differed is that the students seemed better prepared for participating via Zoom than
they did in the spring"
The election and covid have been huge stressors.  It's hard to disaggregate their effect from the stress of learning how to teach online 
