Q3,Q4,Q5,Q6,Q7,Q8,Q16,Q40,Q37
Four Year Public College/University,Master's,"Minority-Serving Institution,Hispanic-Serving Institution,Urban Institution",3,101-200,I have taught fully online previously.,0-2 days,NA,"...the important part of the class was an asynchrnous teamwork element, and that became even more evident when we made the transition."
Four Year Public College/University,Ph.D.,Urban Institution,1,101-200,I have never taught online or in a blended format previously.,1-2 weeks,NA,"My in person class is as interactive as I can make a large lecture class.  I use ConcepTests, lots of demos (and require the students to predict the results of the demos) and lots of simulations.  I would wander the class and engage students in 1-1 discussions during conceptests.  This interactivity was much more limited when teaching on-line.
Exams were particularly troubling, because there were not enough safeguards against cheating."
Four Year Public College/University,Ph.D.,NA,1,21-35,I have never taught online or in a blended format previously.,1-2 weeks,NA,"I was teaching an upper-level core undergraduate lab course. Transitioning online was basically not possible -- the level of the experiments is not appropriate for student work at home, simulations, or virtual labs. I had originally planned to live-stream (and record) myself doing the experiments, but access to our campus was completely cut off, so that wasn't a possibility. If we have to (or choose to) teach online in the future, that may be a possibility, but any online teaching is a poor substitute for an upper-level lab course."
Four Year Public College/University,Bachelor's,NA,2,21-35,I have never taught online or in a blended format previously.,1-2 weeks,NA,"An important lesson learned by the entire department was that Chegg.com can be used in real-time to cheat on online exams. We found our unique test questions answered on Chegg with matching student solutions. In one of my classes, the transition was relatively easy as I was already running the class in a flip format with lecture videos, mastering physics for homework, iLearn, etc. The main transition was using Zoom for class meetings and to supervise online exams."
Four Year Private College/University,Ph.D.,NA,1,200 or more,I have never taught online or in a blended format previously.,1-2 weeks,NA,"I have learned that I can provide recorded material to the student and work problems with them in ""face to face"" settings."
Four Year Public College/University,Bachelor's,Rural Institution,3,21-35,"I have taught fully online previously.,I have taught in a blended online/in-person format previously.",1-2 weeks,NA,I was already doing it for 20+ years.  It was abrupt bit the challenges were invigorating!  We have been working for ~3 years on an online BA in Physics.  This only empowers that.  My faculty (I'm chair) struggle with understanding the connection.  (sigh)
Four Year Public College/University,Ph.D.,NA,2,101-200,I have never taught online or in a blended format previously.,3-4 weeks,NA,"The places where I have excelled in the past center around student interaction and helping lead them in their learning.  These methods did not help me get the students to log in, or have better internet, or motivate them to do the things I was able to do with a good rapport.  I spent more time as a gate-keeper, and the skills of teaching took a back seat as I spent more and more time adjusting assignments and fighting with technology.  I feel students had a similar experience as the same effort on their part would less learning, as a larger percentage of time was spent on technology issues and not on the material itself.
"
Four Year Public College/University,Ph.D.,NA,1,101-200,I have never taught online or in a blended format previously.,3-4 days,NA,"I recorded video lectures using my laptop and posted them to youtube. It went OK. The grades were higher in the online part. I suspect some of the students cheated on the online exams. I found my exam questions posted on Chegg shortly after the exam. I also used a lot of Physics Girl videos to augment my lectures. Overall, the semester turned out pretty good, but I would rather teach face-to-face."
Four Year Public College/University,Ph.D.,NA,1,51-100,I have never taught online or in a blended format previously.,1-2 weeks,NA,"Teaching synchronously, online caused some anxiety for the first few weeks, but then I settled in. Having to record the lectures as a backup option in case of students' technical difficulties also caused some anxiety, since it is much more likely that mistakes or embarrassing moments are forever recorded for posterity."
Four Year Private College/University,Ph.D.,NA,2,101-200,I have taught in a blended online/in-person format previously.,3-4 days,NA,Honestly I had seen it coming for about a month so started to make the changes.  The main challenge was the need for the student to have access to specialized computers and software to do their data reduction for the class.  Our CSR's had already been exploring VM's to let students reach the packages they needed from anywhere in the world. That took care of one aspect of the lab class.  The second part I totally had to modify.  The class required hands-on telescope time with our robotic research telescopes.  That kind of died with leaving school. For fall I'm looking at some modifications that could let the students have at least part of the experience.
Four Year Private College/University,Ph.D.,NA,2,21-35,I have taught fully online previously.,3-4 days,NA,"The transition wasn't that difficult since many of the resources were available online anyway (homework, turning in assignments, etc.). The main change was moving student contact time to Zoom and in-class discussions from small groups to Zoom breakout rooms.  The major challenge for both me and the students was the reduced face-to-face social contact. I also found that it took significantly more of my time to provide an effective online teaching/learning experience."
Four Year Private College/University,Ph.D.,Urban Institution,2,20-Nov,I have taught in a blended online/in-person format previously.,1-2 weeks,NA,"A lot of communication and understanding of students’ needs is required so not only do they not get stressed, but so you don’t get stressed, too. You’ve got to learn to accept imperfections and be honest with your students about the difficulty you are having while also acknowledging yhrr err it difficulties."
Four Year Public College/University,Ph.D.,NA,1,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,NA,"I have small children and a full research program.  I had no child care for 5 weeks and struggled to maintain 30-35 hours/week when I could work.  I knew I had to limit my class prep time, which was a factor in my pedagogical choices.  I think it also made me particularly sensitive to similar challenges my students faced.  I saw too much focus in many of my colleagues on maintaining standards and preventing cheating and not enough on having some human compassion because our students are going through a lot.  I am creeped out by Respondus.  Students did not sign up to be video taped, let alone for a prof to change policies and mandate that they be video taped in their own home.  I think it's one thing if they knew at the beginning of the semester, but it's not fair to do that to students mid-semester.  I think it's better to accept some level of cheating."
Four Year Private College/University,Ph.D.,NA,1,51-100,I have never taught online or in a blended format previously.,3-4 days,NA,White board was ineffective.  I had to type out all of the equations and imbed them in powerpoint
Four Year Public College/University,Bachelor's,NA,3,51-100,I have never taught online or in a blended format previously.,1-2 weeks,NA,"There was a massive amount of cheating in the on-line class.   I think that both myself and my institution need to better address the question of cheating in unproctored on-line classes.    This experience gives me a very negative impression of the academic integrity of on-line classes, unless some serious attempt to proctor is done."
Four Year Public College/University,Ph.D.,NA,1,10-Jun,I have never taught online or in a blended format previously.,5-6 days,NA,"My class was a graduate seminar class on ""professional skills"" (networking, grant writing, career choices, CVs, ethics, presentation skills) and as such was easily transitioned to online.

I am also the department chair so I have observed some difficulties faculty in my department have experienced.  Namely, lack of student interest, lack of student technology at home needed for online courses, rampant cheating using Chegg, students unwilling to engage in the online format, the difficulty in giving synchronous classes, the almost impossibility of giving an upper division lab."
Four Year Public College/University,Ph.D.,NA,2,20-Nov,"I have taught fully online previously.,I have taught in a blended online/in-person format previously.",5-6 days,NA,"The entire problem with a flipped class based approach is that the students don't have good skills to
attempt various things in an independent manner;  they actually need to be trained."
Four Year Public College/University,Ph.D.,NA,2,21-35,I have never taught online or in a blended format previously.,1-2 weeks,NA,"I could never find the right technology to produce good recorded lectures from home (graduate course, lectures are recorded, scheduled lecture time is for questions and discussion). It is frustrating. It takes a huge amount of time, and I have become infinitely inefficient. I can't get any useful feedback from students -- the material is challenging and students seem much less willing to ask questions even though our meetings are specifically for that).  Attendance at lectures (question/discussion) is low, around 30%."
Four Year Public College/University,Ph.D.,NA,1,51-100,I have never taught online or in a blended format previously.,1-2 weeks,NA,"What do you want to understand? Ask a couple of classes of students and 10 instructors, you will see what they think. The only ones who think this was great are the school administrators, because they think they might save money (as if we could compete with online colleges) and the sycophants who try to become the next deanlet by preaching  ""best teaching practices""."
Four Year Public College/University,Ph.D.,Rural Institution,1,200 or more,I have taught fully online previously.,3-4 days,NA,"I honestly think those that are having more difficulties with teaching online were using more antiquated teaching methods (lectures, textbooks, not leveraging LMS, etc.). We have been teaching with a fully hybrid flipped classroom for years where the only difference between a f2f and online class is whether you're physically there or not. All resources, homework, and support were available online before this hit. We even had our online, hybrid, and f2f students attending the same synchronous lectures, interacting in breakout groups in a mixed form. We've had the option to attend or not by creating asynchronous assignments for a couple years. Our vision, which we've been working towards for about 5 years, was to offer a completely al carte model where you pick this week if you're going to attend lecture, lab, or recitation in person or engage remotely. We form groups to maximize diversity across all chosen paths.  For our class the transition was fairly smooth. The one place it has been difficult, and we are failing our f2f (remote) students, is labs. We have physical labs for the online students but those kits are expensive and take time to prepare so we didn't go that route for our f2f students who moved to remote learning. They are using simulations and there is evidence that they are not working as well as the online students who are doing physical experiments."
Four Year Public College/University,Ph.D.,Rural Institution,1,21-35,I have taught in a blended online/in-person format previously.,1-2 weeks,NA,Good in-depth exams for advanced physics classes are extremely hard to administrate.
Four Year Private College/University,Ph.D.,Urban Institution,1,51-100,I have never taught online or in a blended format previously.,3-4 days,NA,"I have found online teaching to be liberating. Students continue to interact with me during lectures, albeit now in multiple forms, such as online chat, texting, as well as verbal interaction. I find that (potentially) anonymous and non-verbal modes of interaction encourage more students to participate spontaneously without my having to solicit their input. These additional communication channels also give me more freedom to interact with students during lectures.

Online teaching also enabled me to continue to hold lectures even while I was sick with Covid-19. In the future, this will be my go-to approach to handling illness or travel, rather than asking a colleague to fill in or having to reschedule a lecture."
Four Year Private College/University,Ph.D.,Urban Institution,1,20-Nov,I have never taught online or in a blended format previously.,0-2 days,NA,"It was the undergraduate advanced lab, so the main challenge was in creating data analysis projects to replace our in-lab experiments.  Colleagues donated data sets, and it all worked out quite well for most of the class - in fact, 93% of the class advocated making a permanent change to incorporate data analysis projects in the syllabus.  However, about 25% of the lab groups had weaker programming skills, and needed a great deal of assistance."
Four Year Public College/University,Ph.D.,NA,3,200 or more,"I have taught fully online previously.,I have taught in a blended online/in-person format previously.",1-2 weeks,NA,Hybrid class was easy to transition to online class.  Labs were possible because online labs had already been developed for another online class.
Four Year Public College/University,Ph.D.,NA,1,101-200,I have never taught online or in a blended format previously.,1-2 weeks,NA,I used Skype to give the lectures. Students could give feedback either via the chat or by talking directly. Only one student was comfortable with asking questions using his voice. These lectures were  also recorded and remained available on Skype for 30 days. So students that were unable to attend the lecture in real time could use the recordings.
Four Year Private College/University,Bachelor's,Urban Institution,2,51-100,I have never taught online or in a blended format previously.,3-4 days,NA,"Maintaining a constant presence was very helpful for my students.  I tried to post on Teams a few times a day, often just sharing interesting new astronomy discoveries, a daily series of useless of facts, and reminders about assignments and tips on studying.  While we suspended our regular class evaluations, I had ~50% participation in an informal assessment survey on the course management page.  It was very useful.  Students indicated focusing on studying was harder, they had to work harder to stay on top of things, they preferred in-person, and that my changes to the course and my engagement was very helpful, especially when compared to other classes."
Four Year Public College/University,Ph.D.,Urban Institution,1,51-100,I have never taught online or in a blended format previously.,3-4 days,NA,"One thing that greatly helped my transition was I was already using a technology-heavy classroom, with platforms for digitally enhanced teaching in-person (learning catalytics, Mastering Physics, teaching via mixed electronic media).  This helped in moving my in-person lectures online.  On the other hand, I struggled to get students to continue communicating with each other and forming ad-hoc study groups and support networks, and if teaching online again I would very much like to make this an active part of the class, both to prevent incoming biases of who already has support networks (e.g. family tutoring or greek life) that tend to bias studying away from students who are not already well-connected with resources coming in to the class."
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Urban Institution",2,10-Jun,I have never taught online or in a blended format previously.,5-6 days,NA,"Prior to Covid I was using Sakai to deliver prepared (LaTex for equations) notes and receive homeworks. I recorded each lecture and posted it to sakai after class with my slides narrated using iSpring Converter Pr. In Covid, the only change I made was to lecture on Zoom instead of in class. Student questions came in the Chat window at about the same rate as in class. I ran the final exam in real-time on Zoom."
Four Year Public College/University,Ph.D.,Urban Institution,1,36-50,I have never taught online or in a blended format previously.,1-2 weeks,NA,"Regular class was taught in flipped-class format with weekly pre-class assignments and a mixture of online homework (WebAssign) and written homework for grading. Face-to-face in-class time is focused on multiple-choice questions answered via Plickers, and group problem-solving sessions with TAs and instructor circulating among students engaging them with socratic questioning. Solutions to problems and questions projected on a white screen are discussed on a chalk blackboard to the side. 
For online transition, pre-class assignments and homework maintained same structure, except written homeworks were scanned by the students and uploaded to cloud storage (OneDrive) using a Google form. Synchronous online classes used Zoom meeting sharing a split screen showing a virtual keyboard implemented with ExplainEverything running on iPad with Apple Pencil, side-by-side with a pdf with problems being given, mimicking face-to-face class setup. Multiple-choice answers were assessed in real time using ""Polls for Canvas""app, and problem-solving sessions were implemented using Zoom breakout rooms of 3-4 students, where TA and Instructors jump from room to room using the same socratic questioning strategy. 
2h in-class exams transitioned to 3h take-home exams to be scanned and submitted for grading, with an explicit request that students abide by code of conduct and do not search for answers on the internet or consult among them or with third-parties. An appeal for honesty and fairness to their fellow colleagues was also made during the class before the exam. Score distributions for these take-home exams largely followed similar trends to in-class exams and written homework performance, thus showing no evidence of cheating. Course evaluations were identical to the ones obtained for first part of the course which was taught face-to-face in its entirety (4.8/5.0 group median), though 73% of students responded this semester compared to 54% last semester. Main shortcoming of online class was the inability to maintain Breakout Room student assignment from class to class, due to my university/college/department not having an institutional license with Zoom and instead relying in less flexible technologies like WebEx. This hindered peer instruction, as students would have to ""break the ice"" anew for the first group problem in every online class."
Four Year Private College/University,Ph.D.,Urban Institution,1,101-200,I have never taught online or in a blended format previously.,1-2 weeks,NA,"The class I taught last semester than transitioned to online (about 2/3 of the way through) was a small upper-level undergrad class with 6 students, which made the transition and the ability to lecture online much easier. In addition, in lieu of written exams, conducted one-on-one oral exams with each of them (via zoom), which turned out to be a better way of gauging their understanding than written exams, and something I might consider in the future even when face-to-face classes can resume."
Four Year Public College/University,Ph.D.,NA,1,51-100,I have never taught online or in a blended format previously.,5-6 days,NA,"I tried to teach very similarly to face-to-face. Students were already adjusted to that from the first part of the semester. I used Zoom breakout rooms for group work.

Survey advice: put all the questions on one page or have a progress indicator. I almost abandoned this as it had no clear ending for too long."
Four Year Public College/University,Ph.D.,Urban Institution,1,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,NA,"One can do it, if necessary, but this is not real teaching/learning (at least for classes that involve critical thinking, not simply acquiring a well defined set of skills/""information units""/useful ""knowledge tools"". I may, of course, be wrong; if this is the case, I'm expendable - together with most of the physics faculty from most of the universities. Online teaching (for, e.g., graduate physics courses), if it is really meaningful and desirable, can be done most efficiently in a centralized manner by a relatively small number of highly qualified people. Otherwise, it should be avoided, even by taking some risks."
Four Year Public College/University,Ph.D.,Rural Institution,3,21-35,I have never taught online or in a blended format previously.,1-2 weeks,NA,"I am a physics teaching assistant, so the courses I teach are part of a larger course taught by the main instructor.  The way recitations work in my course, however, is that they're twice weekly lectures, just in a smaller group.  When we transitioned to online classes, the main instructor for the course moved to using Khan Academy to provide the students with some instructional material.  While the Khan Academy materials do have useful information, they aren't really full lectures, so I ended up taking over the bulk of the lecturing responsibilities.  I would provide a lecture during our regular course time via Zoom and then edit and upload the video footage from the lecture so that students who could not tune in during our regular class time could still access the material.  Based on emails that my students sent to me as well as course evaluations, my students really valued this course structure and felt like it kept things as close to normal as they could have been.  Some of them were a bit frustrated with the Khan Academy videos and wanted their regular lectures by the main instructor as well.  So, from my limited experience and small sample size, I found that providing a synchronous Zoom lecture done as a normal, at the whiteboard lecture, with an asynchronous video uploaded afterward seemed to meet the needs of the students well, but using prerecorded videos from other institutions was a bit less helpful."
Four Year Private College/University,Ph.D.,Urban Institution,1,21-35,I have taught fully online previously.,5-6 days,NA,"While the transition was abrupt and we (the instructors) had to scramble to figure out how to make things work, especially in terms of group work (tutorials, labs), it really helped that the students and instructors all already knew each other. This allowed us to maintain a strong sense of community and a high level of interaction after the transition.  This would have been much harder to achieve with a group of students who had never met each other. 
Indeed, in a previous experience teaching an asynchronous MOOC, we tried to add synchronous office-hours type sessions each week, but very few students participated. We also tried to create community through the discussion board, but did not have a lot of success in getting students to interact with each other."
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Hispanic-Serving Institution,Urban Institution",1,36-50,I have taught in a blended online/in-person format previously.,1-2 weeks,NA,It was easy once I figured out how to make breakout rooms in Teams so that student could go into small groups.
Four Year Public College/University,Ph.D.,NA,3,101-200,I have taught fully online previously.,1-2 weeks,NA,"I like teaching synchronously and have already been using lecture capture (for students who miss class), LearningCatalytics, MasteringPhysics, and an e-text. The latter 3 were essential for online teaching, so they did not have to change. I found most students did not participate synchronously, so LearningCatalytics for real-time TPS questions was not very useful (and thus was no longer graded for participation). Delivering exams was problematic. We had access to Respondus' Lockdown Browser and Monitor, so I tried to use both. Most students could use them adequately, though neither turned out very useful in attempting to detect cheating. I could only assume that students were less willing to attempt cheating, and they will adapt and attempt to cheat in the future (they are easily side-stepped by using another device). I was able to deliver multiple-choice self-graded exams through Blackboard."
Two Year Public College,Associate degree,Minority-Serving Institution,3,21-35,I have never taught online or in a blended format previously.,1-2 weeks,NA,"We have used FlipitPhysics for many years as our textbook and online homework system, so we were lucky - it already has lectures built in that we had been requiring of our students anyway. I initially relied on this, Zoom office hours (daily), and detailed notes that I posted. I have since added a voice-over to the notes. I spend a lot of time (much more than pre-Covid) answering emails from and about students. I have also seen my service work and time in meetings skyrocket."
Four Year Public College/University,Ph.D.,Urban Institution,1,101-200,I have never taught online or in a blended format previously.,5-6 days,NA,"I'm teaching a special program for a select group of incoming undergraduates (first years and transfer students). It's very low-level, but focused on content that's research-aligned, rather than intro physics.  I had hoped that there would be some good interactive web content or videos available, but I was dismayed at the options (nothing interactive, also nearly everything featured a white male expert), so I decided it was worth my time to create more of the content than I'd originally intended."
Four Year Public College/University,Ph.D.,Urban Institution,3,200 or more,I have never taught online or in a blended format previously.,1-2 weeks,NA,"I had to record my lectures before the actual classes met, that was like 3 times per week. Also I had to prepare multiple choice questions. Other than that it was a nice transition. I  love online teaching since it gives me more time to spend with my family as well as teach what I love to others."
Four Year Public College/University,Ph.D.,Rural Institution,3,36-50,I have taught in a blended online/in-person format previously.,5-6 days,NA,"I ranked the usefulness of tools such as zoom classmeetings and online grading from the perspective of whether I could teach the class without them.  I want to be clear, however, that I had not choice to use these tools and more importantly, *NONE* of them supplant face to face instruction and hands on laboratory experiences."
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Urban Institution",2,51-100,I have never taught online or in a blended format previously.,0-2 days,NA,My students turn off their cameras during zoom sessions. I find it very hard to gauge their engagement without visual queues. Student performance on Homework is a bit below historical averages but test performance is statistically indistinguishable from previous years.
Four Year Public College/University,Ph.D.,Hispanic-Serving Institution,1,20-Nov,I have never taught online or in a blended format previously.,1-2 weeks,NA,"Everyone had video off and muted during class.  After the first week, it was very difficult to get anyone to engage in conversation or questions."
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Hispanic-Serving Institution",3,21-35,I have never taught online or in a blended format previously.,3-4 days,NA,As a TA i didnt have much control. We recorded the expirements and had students watch them and go about their usual work.
Four Year Private College/University,Bachelor's,"Minority-Serving Institution,Rural Institution",1,20-Nov,I have taught in a blended online/in-person format previously.,1-2 weeks,NA,"My class used a lot of blackboard anyways since it was a hybrid class so that wasn't really an issue. Mostly my second half of the semester is hands on work, so the class lacked in that aspect."
Four Year Public College/University,Ph.D.,Urban Institution,2,101-200,I have taught in a blended online/in-person format previously.,1-2 weeks,NA,"The main challenge was finding an effective way to administer online exams. Exams were implemented through my LMS but I could not be 100% sure about cheating, although I used strategies such as using free-response questions, selecting questions from a random pool and so on."
Four Year Public College/University,Ph.D.,"Minority-Serving Institution,Hispanic-Serving Institution",1,36-50,I have never taught online or in a blended format previously.,5-6 days,NA,"It took me 3-4 times more time to prepare online video lectures compared to preparing for a face-to-face lecture. It is very important to me to see the students' faces during class, how they react, behave, etc. Without such instant feedback, it feels impossible to judge how much they are able to follow the lectures and I cannot adjust the pace and level accordingly. It feels like I'm talking at the wall, which is demotivating for me too, something that affects my teaching badly. I find it important to see how they are doing on a regular basis, which again is difficult without meeting them. I need to zoom with them a lot individually because although I have regular weekly discussions, they sometimes cannot make it due to their up-side-down schedules (no structure provided by the regularities of classes and discussions). Thus, to accommodate all their needs I have to make (a lot) more time for them as before. Online teaching feels like cheating them, not providing them with the university experience that very much relies on communication and interaction."
Four Year Public College/University,Bachelor's,NA,3,36-50,I have taught in a blended online/in-person format previously.,1-2 weeks,NA,"Given technology disparities, the difficulties of studying in some homes, and the chaotic schedules we unexpectedly have, it is more important than ever to afford students the opportunity to participate asynchronously.

Students still very much want the interactions with the instructor. Talking to me in a short video conference is better received than sending students to a resource page - at least according to the evaluations that were submitted for this spring semester."
Four Year Public College/University,Ph.D.,NA,1,36-50,I have never taught online or in a blended format previously.,1-2 weeks,NA,Shared screens and breakout rooms on Zoom work surprisingly well.  It would be MUCH better if more students could write on the screen (e.g. from a tablet) rather than with a mouse.
Four Year Public College/University,Master's,NA,3,36-50,I have never taught online or in a blended format previously.,1-2 weeks,NA,"My face to face class is very traditional. I do not use chalk and chalkboard, but I do use a document writer and large screen (a digital projector) and write out the notes with the class and talk to the class as I write. Even face-to-face, before COVID19, I post all lecture notes, homework, quiz, and exam solutions in Blackboard. All students know their exact grade at all times. Transitioning online was easy, simply point a web cam at a legal pad and start teaching on Zoom, same as regular class (except they don't see me and I can not do live demos). Students appreciated that they did not have to learn anything new tech for the transition in my classes. The BIGGEST problem with online teaching is the cheating on the exams and ways to police it to ensure no cheating. Overall, despite the ~1/3 of the class taught online, it was a success. Some comments below indicate that even though it is a traditional course, students like the delivery method (before and after COVID19). Here are two comments from students on the end of the semester teaching evaluations: ""What a great course! I had come into this course with a prior love for physics from high school and horror stories of college physics. I understand the horror, but the fun and newfound knowledge definitely outweighs the nastier parts including equations. This course rekindled my love for learning. I had never been so proud to show my parents how I could calculate the torque, final velocity, and possibly the angular momentum of something under super specific conditions. MMP and Written HW were components that I used to check my learning after a week of classes--that system was very efficient and productive for me. The individual and group quizzes were also really helpful. I was wary of the group ones, but I found myself studying harder so I wouldn't let them down in case one of them couldn't study. Exams were hard, but they weren't completely foreign. All in all, this was a really fantastic course that definitely requires TIME for studying, but each one of those hours is so very much worth the time put into it."" and comment 2, ""What an awesome instructor. I found myself comparing my other professors to him. The material was difficult, and memorizing some equations/constants/mathematical relations could easily be grueling, but he made it anything but. The live demos were amazing, and showed me how much I don't know. He's a wealth of knowledge, and is uber flexible in the way he teaches--anybody could learn even if they knew absolutely nothing about science."""
Four Year Public College/University,Ph.D.,Rural Institution,1,36-50,I have never taught online or in a blended format previously.,1-2 weeks,NA,Need to learn strategies for making the class more interactive during synchronous online lectures.
Four Year Private College/University,Bachelor's,Rural Institution,2,21-35,I have never taught online or in a blended format previously.,1-2 weeks,NA,"I made video lectures on Panopto by making notes on my iPad as I would on the backboard. I also showed various PowerPoint slides when appropriate with recorded narrative. These were to be watched asynchronously. I used canvas to deliver the lessons. 

Problem sets were assigned and synchronous time was optional And used more a San office hour to explain concepts and help with homework. They started out well attended but dwindled over time. 

I was under tenure review and was observed for evaluation so the entire experience was deeply traumatizing."
Four Year Public College/University,Ph.D.,Urban Institution,1,51-100,I have never taught online or in a blended format previously.,1-2 weeks,NA,"I started off fairly excited about the opportunities, but I rapidly became concerned about two students who didn't have internet access for synchronous classes. My assessment strategies relied on achieving mastery and doing oral re-takes after exams. So I threw all that out the window. The first 4 weeks, I managed to record and post lectures and even gave an at home quiz during typical class time. I managed to give a 3rd exam, but worried tremendously how stressed and anxious students might be feeling. I become severely discouraged by my failings as an instructor and caring for my students. I ended up offering everyone an A for the work they had completed up to that point. It was a 2nd semester Quantum class, so I'm not concerned that I'm setting them up for failure by limiting this content as they likely won't need it to continue their education. Just really felt like I was equal parts helping them and failing them. What a shit show."
Four Year Public College/University,Ph.D.,Rural Institution,1,21-35,I have never taught online or in a blended format previously.,0-2 days,NA,It is vastly inferior to in-person teaching.
Four Year Public College/University,Ph.D.,Rural Institution,1,51-100,I have never taught online or in a blended format previously.,1-2 weeks,NA,"Since the students didn't sign up for distance education and we did eight weeks (of 14) of regular instruction (which uses LON-CAPA for online homework and Top Hat for in-class responses), I tried to maintain an experience as close to the regular classroom experience as before, with synchronous lectures at our usual class time that were recorded for those that couldn't follow synchronously. I eventually figured out how to set up break-out rooms for the in-class activities that we used to do at our 9 person tables, but it was very awkward to visit them in Microsoft Teams. In talking with my student advisees (I have about 20), the quasi-synchronous way that most faculty in our department adopted was more popular (at least for this very odd semester) than the more fully online approaches that other departments tried. The diversity of different approaches that they got across departments was confusing to them. Our faculty are preparing to go more online for fall, especially with lab materials and demos (which did not transition well to the distance learning format)."
Four Year Private College/University,Ph.D.,Rural Institution,1,36-50,I have never taught online or in a blended format previously.,1-2 weeks,NA,Asynchronous lectures/ synchronous group work supervised by prof and TA (10-11am and 11-12pm eastern US). Zoom breakouts for group work.
Four Year Public College/University,Ph.D.,Urban Institution,1,101-200,I have never taught online or in a blended format previously.,1-2 weeks,NA,"Tried to cause as little disruption as possible for students - kept to same class times, same online homework system, just moved to Canvas-based quizzes."
